f_shift,in,lp,bp,hp
4,1530,2773,-13661,-604
4,1740,-10552,-5269,12412
4,1945,-6159,10142,7266
4,2143,9343,10013,-8023
4,2334,13163,-4251,-10754
4,2517,1029,-11109,2000
4,2692,-8149,-1335,10750
4,2857,-1814,9509,3912
4,3014,10512,6665,-8071
4,3160,11006,-5345,-7657
4,3296,115,-8603,3583
4,3421,-5463,856,8706
4,3535,2026,8470,866
4,3636,10781,3941,-7492
4,3726,9018,-5683,-5026
4,3804,-258,-6311,4379
4,3869,-3048,2234,6713
4,3921,4238,6978,-805
4,3960,10447,1407,-6613
4,3985,7192,-5510,-2887
4,3998,-348,-4332,4604
4,3998,-1090,2983,4902
4,3984,5506,5460,-1849
4,3957,9401,-83,-5411
4,3916,5199,-5083,-924
4,3863,-339,-2711,4425
4,3797,312,3245,3349
4,3719,5940,4032,-2395
4,3628,7985,-1082,-4198
4,3525,3677,-4318,221
4,3410,-451,-1198,4051
4,3284,1138,3165,2075
4,3147,5678,2764,-2566
4,3000,6312,-1683,-3059
4,2843,2237,-3494,982
4,2676,-554,-293,3416
4,2500,1603,2928,890
4,2317,4884,1706,-2490
4,2125,4512,-1971,-2071
4,1927,871,-2702,1423
4,1722,-845,321,2752
4,1511,1381,2464,187
4,1295,3751,723,-2285
4,1075,2685,-2030,-1263
4,852,-421,-1995,1621
4,625,-1321,696,2130
4,397,782,1978,-280
4,167,2310,122,-1920
4,16321,793,-1964,-503
4,16091,9823,13606,5648
4,15862,27150,9153,-11631
4,15634,27085,-8262,-10706
4,15409,10766,-12668,5660
4,15188,2528,1222,12805
4,14970,13213,12070,1221
4,14757,25425,5255,-10783
4,14549,22217,-8638,-6920
4,14348,8408,-9241,6719
4,14153,4324,3264,9820
4,13965,14760,9934,-1227
4,13786,23348,1687,-9488
4,13615,18203,-8236,-3902
4,13454,7096,-6279,6912
4,13302,6070,4379,7111
4,13160,15579,7795,-2764
4,13029,20961,-346,-7779
4,12909,14634,-7463,-1138
4,12801,6620,-3838,6529
4,12704,7724,4806,4777
4,12620,15925,5805,-3583
4,12548,18791,-1657,-6067
4,12489,12527,-6214,410
4,12443,6729,-1555,5858
4,12410,9286,4753,2860
4,12390,16037,4066,-3881
4,12384,17035,-2399,-4495
4,12390,11285,-4912,1406
4,12410,7558,-174,4843
4,12443,11051,4467,1080
4,12489,16080,2624,-3801
4,12548,15785,-2702,-3127
4,12620,10826,-3674,1952
4,12704,8765,770,3807
4,12801,12441,3849,23
4,12909,16264,1272,-3542
4,13029,15070,-2686,-1993
4,13160,11027,-2555,2162
4,13302,10260,1357,2816
4,13454,13804,3158,-699
4,13615,16452,444,-3025
4,13786,14706,-2533,-932
4,13965,11745,-1609,2142
4,14153,11919,1669,1942
4,14348,15141,2485,-1143
4,14549,16830,-131,-2473
4,14757,14971,-2155,-287
4,14970,12800,-729,2003
4,15188,13637,1763,1223
4,15409,16430,1875,-1359
4,15634,17382,-492,-1942
4,15862,15590,-1745,154
4,16091,14166,-174,1707
4,16321,15447,1745,535
4,167,17635,1325,-1396
4,397,5651,-15919,-4489
4,625,-13078,-8776,14024
4,852,-10866,10596,10829
4,1075,7793,13488,-7784
4,1295,15196,-2951,-13936
4,1511,2800,-13606,-654
4,1722,-10790,-4525,12584
4,1927,-5537,10530,6601
4,2125,9844,9513,-8511
4,2317,12810,-4854,-10381
4,2500,373,-10943,2628
4,2676,-8126,-1367,10712
4,2843,-1244,9710,3314
4,3000,10826,6172,-8368
4,3147,10616,-5772,-7255
4,3284,-389,-8357,4059
4,3410,-5368,1373,8567
4,3525,1993,8440,890
4,3628,10956,3485,-7648
4,3719,8634,-5964,-4633
4,3797,-618,-6027,4714
4,3863,-2876,2631,6509
4,3916,4640,6910,-1208
4,3957,10419,1424,-6592
4,3984,6843,-5664,-2532
4,3998,-579,-4043,4816
4,3998,-878,3265,4672
4,3985,5821,5330,-2156
4,3960,9358,-404,-5347
4,3921,5211,-5061,-934
4,3869,-464,-2438,4538
4,3804,538,3433,3117
0,3726,3218,-3735,820
0,3636,4698,2037,-1099
0,3535,2821,-935,874
0,3421,3615,489,-110
0,3296,3248,-239,188
0,3160,3364,128,-76
0,3014,3060,-28,102
0,2857,3004,28,9
0,2692,2798,17,58
0,2517,2636,-45,59
0,2334,2483,51,31
0,2143,2269,4,65
0,1945,2097,26,45
0,1740,1885,19,59
0,1530,1684,21,55
0,1315,1448,-64,86
0,1095,1281,66,30
0,872,1014,5,81
0,646,820,29,51
0,418,579,23,66
0,188,355,22,62
0,16342,98,-71,95
0,16112,22302,-3598,-5735
0,15882,14603,3459,1293
0,15655,15625,-2278,400
0,15430,16145,1305,-571
0,15208,14894,-593,574
0,14989,15179,257,13
0,14776,14866,-105,130
0,14568,14765,80,6
0,14366,14479,-3,90
0,14170,14325,26,40
0,13982,14110,20,59
0,13802,13914,-55,72
0,13630,13773,57,26
0,13468,13566,-1,65
0,13315,13433,22,34
0,13172,13269,14,46
0,13041,13134,14,38
0,12920,12992,-40,52
0,12810,12903,40,15
0,12713,12768,-3,43
0,12627,12695,15,18
0,12554,12599,6,28
0,12494,12537,6,17
0,12447,12472,-18,24
0,12413,12442,15,5
0,12392,12398,-2,16
0,12384,12393,1,-1
0,12389,12383,1,1
0,12408,12389,-1,1
0,12440,12419,10,-11
0,12485,12446,-12,-5
0,12543,12502,-3,-16
0,12613,12559,-8,-15
0,12696,12636,-7,-22
0,12792,12720,-9,-23
0,12899,12831,30,-40
0,13018,12918,-31,-17
0,13148,13061,-4,-42
0,13288,13181,-18,-31
0,13439,13332,-13,-43
0,13600,13483,-16,-43
0,13770,13665,50,-68
0,13949,13799,-52,-25
0,14135,14016,-4,-66
0,14330,14180,-25,-43
0,14531,14390,-19,-58
0,14738,14587,-21,-54
0,14950,14821,64,-87
0,15168,14985,-65,-30
0,15389,15250,-4,-81
0,15614,15441,-30,-50
0,15841,15683,-21,-67
0,16070,15903,-24,-60
0,16300,16160,71,-94
0,146,16337,-74,-32
0,376,-5764,3669,5681
0,605,1853,-3488,-1259
0,831,882,2290,-420
0,1055,331,-1307,582
0,1275,1005,575,15
0,1491,1253,-393,47
0,1703,1662,173,-181
0,1908,1684,-108,26
0,2107,2013,12,-105
0,2300,2138,-29,-29
0,2484,2386,70,-90
0,2660,2506,-61,-18
0,2828,2730,0,-70
0,2986,2865,-21,-35
0,3134,3036,-15,-49
0,3272,3174,-13,-39
0,3399,3326,42,-56
0,3515,3417,-42,-15
0,3619,3561,2,-46
0,3711,3641,-15,-21
0,3791,3741,-6,-29
0,3858,3812,-7,-20
0,3912,3883,20,-26
0,3953,3920,-16,-7
0,3982,3969,1,-16
0,3997,3989,-1,-6
0,3999,3999,-1,-1
0,3987,3999,0,0
0,3962,3982,-5,6
0,3925,3955,6,7
0,3874,3913,1,12
0,3810,3859,7,15
0,3734,3790,6,20
0,3645,3712,8,22
0,3544,3609,-27,38
0,3432,3527,31,16
0,3308,3392,4,40
0,3173,3277,17,30
0,3027,3132,14,41
0,2872,2987,16,39
0,2707,2810,-48,65
0,2533,2680,49,24
0,2351,2469,5,64
0,2160,2307,22,43
0,1963,2102,20,57
0,1759,1909,20,53
0,1550,1679,-63,84
0,1335,1517,65,29
0,1115,1255,4,80
0,893,1064,30,50
0,667,824,21,68
0,438,607,23,59
0,209,348,-72,95
0,16363,173,74,32
0,16133,22275,-3669,-5682
0,15903,14658,3490,1257
0,15675,15626,-2291,421
0,15450,16176,1309,-582
0,15228,15501,-576,-15
0,15009,15250,393,-46
0,14795,14839,-172,181
0,14586,14815,109,-26
0,14384,14480,-11,107
0,14188,14352,28,31
0,13999,14103,-70,90
0,13818,13976,63,20
0,13646,13747,-1,72
0,13482,13609,22,36
0,13329,13431,15,51
0,13185,13289,14,40
0,13052,13129,-43,59
0,12930,13034,43,16
0,12820,12884,-1,47
0,12721,12796,15,24
0,12635,12691,8,30
0,12561,12612,7,23
0,12499,12534,-22,29
0,12451,12491,19,7
0,12415,12434,-2,18
0,12393,12407,3,8
0,12384,12387,1,6
0,12388,12384,0,0
0,12406,12388,0,0
0,12436,12416,-1,-9
0,12480,12446,-1,-9
0,12537,12494,-6,-13
0,12606,12555,-5,-17
0,12688,12626,-9,-19
0,12782,12721,26,-34
0,12889,12799,-31,-15
0,13006,12930,-2,-40
0,13135,13035,-16,-28
0,13275,13176,-13,-40
0,13425,13315,-15,-39
0,13585,13485,46,-62
0,13754,13613,-47,-25
0,13932,13816,-4,-61
0,14118,13977,-22,-43
0,14312,14174,-19,-54
0,14512,14366,-21,-52
0,14719,14591,62,-82
0,14931,14753,-64,-30
0,15148,15011,-3,-79
0,15369,15199,-30,-49
0,15593,15438,-21,-67
0,15820,15653,-24,-58
0,16049,15910,71,-94
0,16279,16086,-73,-32
0,125,16366,-1,-86
0,355,-5820,3638,5718
0,584,1854,-3479,-1281
0,811,852,2290,-411
0,1035,1625,-529,-780
0,1255,931,437,77
0,1472,1283,-325,-7
0,1684,1611,144,-148
0,1890,1680,-99,11
0,2089,1987,9,-97
0,2282,2153,37,-66
0,2468,2323,-49,-37
0,2645,2532,-5,-63
0,2813,2689,-21,-42
0,2972,2863,-16,-49
0,3121,3017,-15,-44
0,3260,3178,44,-59
0,3388,3282,-45,-19
0,3505,3436,2,-48
0,3610,3530,-17,-23
0,3703,3644,-8,-33
0,3784,3726,-8,-22
